game_id,season,position,dj_score,wager,correct,coryat_score
5635,33,returning_champion,10000,3001,TRUE,11000
5635,33,middle,12000,12000,FALSE,12000
5635,33,right,13000,11001,FALSE,15200
5634,33,returning_champion,14400,6801,TRUE,9600
5634,33,middle,10600,10600,TRUE,10600
5634,33,right,9400,5001,FALSE,11400
5633,33,returning_champion,10200,8600,TRUE,10200
5633,33,middle,3000,1000,FALSE,1800
5633,33,right,18700,1701,TRUE,20000
5631,33,returning_champion,10200,8500,TRUE,13200
5631,33,middle,12400,12000,FALSE,10800
5631,33,right,13200,12401,TRUE,8200
5630,33,returning_champion,7400,7400,TRUE,7000
5630,33,middle,11000,3801,FALSE,11000
5630,33,right,7400,3600,FALSE,7600
5629,33,returning_champion,21400,3000,TRUE,24000
5629,33,middle,9000,7000,FALSE,11000
5629,33,right,7800,1201,TRUE,7800
5628,33,returning_champion,14600,5000,TRUE,16200
5628,33,middle,3000,3000,FALSE,3000
5628,33,right,8600,6001,TRUE,13600
5627,33,returning_champion,22800,6000,TRUE,19200
5627,33,middle,14200,4000,FALSE,14200
5627,33,right,1200,1199,FALSE,5200
5621,33,returning_champion,16000,4000,FALSE,10200
5621,33,middle,18600,15401,FALSE,18600
5621,33,right,17000,15001,FALSE,15600
5626,33,returning_champion,3800,3000,TRUE,3800
5626,33,middle,11800,4000,FALSE,10400
5626,33,right,27600,3600,FALSE,21600
5618,33,returning_champion,12100,8301,FALSE,12200
5618,33,middle,10200,2000,FALSE,9200
5618,33,right,5400,5001,FALSE,7400
5616,33,returning_champion,17500,11301,FALSE,15000
5616,33,middle,14400,6799,FALSE,14400
5616,33,right,3800,2500,FALSE,2600
5615,33,returning_champion,8800,8000,FALSE,8800
5615,33,middle,9800,7801,TRUE,8600
5615,33,right,13200,6401,FALSE,9600
5611,33,returning_champion,15200,801,FALSE,16000
5611,33,middle,5400,5399,TRUE,5400
5611,33,right,8000,7201,FALSE,7800
5614,33,returning_champion,5800,2500,TRUE,9400
5614,33,middle,17000,1500,FALSE,17600
5614,33,right,7400,7400,TRUE,7400
5609,33,returning_champion,4400,3100,FALSE,5400
